video_id,group,aspect_ratio,audio_bpm,audio_duration_s,audio_key,audio_key_confidence,audio_lra_lu,audio_lufs_i,audio_onsets_per_sec,audio_peak_energy_at_s,audio_peak_energy_ratio,audio_rms_mean,audio_rms_std,audio_spectral_centroid_hz,channel,channel_id,collected_at,comment_count,duration_s,fps,has_chapters,has_heatmap,has_nico_link,height,hook_cuts_first_15s,hook_energy_first_10s_ratio,like_count,like_per_view,lyrics_addressee,lyrics_first_lyric_at_s,lyrics_first_vocal_at_s,lyrics_has_hardsub,lyrics_lang,lyrics_lyric_lines_per_min,lyrics_n_lyric_lines,lyrics_sentiment,lyrics_source,lyrics_text_frame_ratio,lyrics_topic_1,lyrics_topic_2,scene_avg_brightness,scene_avg_saturation,scene_avg_shot_len_s,scene_cuts_per_minute,scene_duration_s,scene_fps,scene_max_shot_len_s,scene_median_shot_len_s,scene_min_shot_len_s,scene_num_scenes,subscriber_count,sync_beats_per_cut,sync_cut_accel_at_peak,sync_cut_beat_offset_med_s,sync_cut_on_beat_ratio,sync_first_cut_s,sync_first_lyric_at_s,tag_avg_characters,tag_closeup_ratio,tag_lyrics_text_ratio,tag_mood_top,tag_style_top,tag_wide_ratio,thumb_brightness,thumb_composition,thumb_has_text,thumb_mood,thumb_num_characters,thumb_saturation,thumb_style,title,title_bracket_segments,title_exclaim_count,title_has_emoji,title_has_mv_mark,title_len,upload_date,upload_hour,upload_weekday,view_count,view_per_sub,was_premiere,width
7EYuHASt2Ks,top,1.778,89.1,197.83,F# minor,0.56,7.0,-14.6,3.89,160,0.809,0.1711,0.082,3154.0,hya,UC-bOZPPEmO96K7DEHi2lGcw,2026-07-16T11:36:31,1100,198,24,False,True,False,1080,3,0.748,45048,0.0372,1인칭 독백,2,1,True,ja,16.4,54,부정,ocr,0.677,사랑,이별,0.206,0.376,1.72,34.9,197.83,24.0,7.83,1.29,0.62,115,61500,2.6,1.3,0.151,0.219,1.29,2,0.97,0.757,0.748,슬픔,anime,0.235,0.248,인물 클로즈업,False,슬픔,1,0.335,anime,"ᵇᵉˢᵗ ᶠʳⁱᴱᴺᴰ / 雨衣, 初音ミク",0,0,False,False,22,20251018,7,5,1211244,19.695,True,1920
Jtm6ikBIl0g,top,1.778,143.6,163.17,F minor,0.476,3.9,-11.6,4.38,140,0.858,0.2681,0.0971,2933.0,ピノキオピー PINOCCHIOP OFFICIAL CHANNEL,UCMMBGMjrrWcRZmG_lW4jC-Q,2026-07-16T11:43:19,10000,163,30,False,True,False,1080,7,0.769,303469,0.0117,1인칭 독백,42,3,True,ja,8.1,22,긍정,ocr,0.305,자기긍정,,0.613,0.331,1.77,33.8,163.16,29.97,7.74,1.44,0.53,92,1670000,4.2,0.9,0.08,0.571,0.83,42,1.33,0.804,0.88,활기,anime,0.109,0.726,인물 클로즈업,True,활기,2,0.301,anime,ピノキオピー - T氏の話を信じるな feat. 初音ミク・重音テト / Don’t Believe in T,0,0,False,False,55,20250627,3,4,25909147,15.5145,False,1920
cknsKkzA2lM,top,1.778,152.0,200.13,D major,0.667,6.5,-12.9,3.85,80,0.4,0.221,0.0785,2940.0,avaraya,UCT5glZ9wVWRo0VsKzsG5DlQ,2026-07-16T11:49:12,424,200,24,False,True,False,1080,3,0.86,18245,0.0258,1인칭 독백,2,0,True,ja,11.1,37,부정,ocr,0.48,이별,판타지,0.44,0.5,4.0,15.0,200.12,23.976,17.89,2.31,0.75,50,49900,10.1,0.82,0.134,0.327,1.17,2,0.54,0.34,0.7,활기,anime,0.54,0.583,인물 클로즈업,True,활기,1,0.59,3dcg,サ終あざした / 重音テトSV,0,0,False,False,15,20250701,4,1,706448,14.1573,False,1920
4LrRm2Kv0So,top,1.778,112.3,74.01,E minor,0.284,8.8,-17.8,3.61,10,0.135,0.1292,0.0617,2437.0,hiroki.,UC2zxEt15cSuHEEj5PoNEm2g,2026-07-16T11:53:07,1800,74,30,False,True,False,1080,8,1.238,42993,0.0303,,2,2,True,ja,0.8,1,,asr,0.378,,,0.741,0.234,2.18,27.6,74.0,30.0,11.8,1.55,0.57,34,105000,4.1,1.35,0.153,0.273,3.67,2,1.65,0.5,0.794,활기,anime,0.294,0.754,인물 클로즈업,False,슬픔,2,0.33,anime,リトライ！ / 初音ミク・重音テト - Retry!,0,2,False,False,26,20251024,3,4,1417177,13.4969,True,1920
7qAAg5WeB20,top,1.778,107.7,192.93,A minor,0.71,2.8,-11.0,3.78,170,0.881,0.2814,0.0833,2529.0,halyosy,UC-cGs-5HqIutyUrPa8mmDUA,2026-07-16T11:55:36,318,193,24,False,True,False,1440,2,0.888,16136,0.0057,1인칭 독백,2,1,True,ja,5.6,18,부정,ocr,0.312,이별,어둠/절망,0.343,0.469,2.47,24.3,192.92,24.0,12.42,1.65,0.67,78,214000,4.4,0.88,0.11,0.429,12.42,2,1.15,0.885,0.859,긴장,anime,0.077,0.54,인물 클로즈업,True,긴장,2,0.494,anime,"halyosy - ダンロウグモ ft. KAITO, 鏡音レン [Official Video]",1,0,False,False,49,20251030,2,3,2854955,13.3409,False,2560
-FX7yWRFw9Y,bottom,1.778,103.4,91.91,D# major,0.895,5.6,-16.1,3.11,70,0.762,0.1393,0.0598,1896.0,DIORAMA,UCbgZoMcYhiGNJ5fyqyPcW6Q,2026-07-16T12:00:50,5,92,60,False,False,False,1080,0,0.648,10,0.0437,1인칭 독백,11,11,False,ja,5.2,8,긍정,asr,0.043,희망,,0.495,0.143,30.63,2.0,91.9,60.0,58.37,27.48,6.05,3,61800,51.7,0.0,0.088,1.0,58.37,11,1.33,0.333,1.0,평온,anime,0.333,0.722,인물 클로즈업,True,평온,2,0.199,anime,【Youtube登録5万人感謝曲】箱庭は続く / feat. DIORAMA×知声×可不,1,0,False,False,44,20251203,1,2,229,0.0037,False,1920
E0MpuPcY_1A,bottom,1.778,99.4,280.83,D# major,0.536,6.2,-14.6,3.63,230,0.819,0.198,0.0914,2063.0,DIORAMA,UCbgZoMcYhiGNJ5fyqyPcW6Q,2026-07-16T12:01:48,5,281,60,False,False,False,1080,2,0.111,11,0.0252,2인칭 대상,18,8,True,ja,4.3,20,부정,ocr,0.421,이별,희망,0.434,0.088,25.53,2.4,280.82,60.0,75.0,10.48,1.7,11,61800,41.4,0.0,0.128,0.3,10.48,18,1.0,0.0,0.455,평온,anime,0.364,0.749,인물 클로즈업,True,평온,1,0.087,anime,【メリクリ】夜撫でるメノウ / Ayase feat.DIORAMA & GUMI SV,1,0,False,False,44,20251224,1,2,436,0.0071,True,1920
h-ibHxT6xbY,bottom,1.778,129.2,116.31,F minor,0.828,5.3,-18.7,1.99,80,0.688,0.1111,0.0503,469.0,永久恋愛ととと Eclair Tototo,UCZPNQj7_olP2il2aHitNehA,2026-07-16T12:05:58,1,116,30,False,False,False,720,8,0.792,2,0.0513,1인칭 독백,8,,True,ja,21.2,41,부정,ocr,0.897,이별,판타지,0.216,0.467,3.06,19.6,116.3,30.0,12.3,1.69,0.63,38,1860,6.6,0.63,0.118,0.351,3.57,8,0.95,0.447,1.0,평온,live_action,0.132,0.313,인물 클로즈업,True,슬픔,2,0.321,anime,九月の妄想 September Delusion #horror #dreamcore #liminalspace,0,0,False,False,57,20251014,2,1,39,0.021,False,1280
SgmdoeayELI,bottom,1.778,107.7,123.47,A minor,0.746,1.2,-11.1,0.92,70,0.567,0.2798,0.0793,2710.0,永久恋愛ととと Eclair Tototo,UCZPNQj7_olP2il2aHitNehA,2026-07-16T12:08:18,,124,30,False,False,False,720,0,1.115,2,0.029,1인칭 독백,0,,True,ja,11.7,24,부정,ocr,0.968,이별,희망,0.182,0.25,20.58,2.9,123.47,30.0,80.2,8.73,1.47,6,1860,37.1,0.0,0.132,0.4,80.2,0,0.67,1.0,0.667,슬픔,anime,0.0,0.398,인물 클로즈업,True,슬픔,1,0.407,anime,"愛して愛して愛のザイシャ Love Me, Love Me, the Sin Named Zaisya #初音ミク #music #オリジナル曲",0,0,False,False,72,20251122,1,5,69,0.0371,False,1280
aIIevDkXt2E,bottom,1.778,89.1,159.35,F# major,0.864,4.6,-13.7,1.39,110,0.69,0.1714,0.0493,3195.0,赤猫,UCUN9LanpplJ21Cla0Z5J29g,2026-07-16T12:09:40,3,159,30,False,False,False,1080,1,0.626,9,0.1098,1인칭 독백,0,0,False,ja,7.9,21,긍정,asr,0.062,희망,,0.463,0.366,12.26,4.9,159.33,30.0,30.2,10.63,0.53,13,1770,18.2,1.33,0.27,0.167,0.73,0,0.62,0.0,0.769,평온,anime,1.0,0.737,인물 클로즈업,True,평온,1,0.607,anime,快晴の扉を開けて / 初音ミク【イラスト統一祭2025】,1,0,False,False,28,20250919,8,4,82,0.0463,False,1920
